Date,Open,High,Low,Close,Volume
11/20/2024,"85.45","85.80","84.15","84.25","58,660"
11/19/2024,"86.65","87.25","84.65","85.60","56,676"
11/18/2024,"86.75","87.50","85.60","86.55","53,036"
11/15/2024,"85.70","87.75","85.55","86.75","65,084"
11/14/2024,"85.00","86.65","84.70","86.35","64,679"
11/13/2024,"86.20","86.90","83.90","84.90","79,400"
11/12/2024,"87.65","88.25","86.50","86.90","61,940"
11/11/2024,"87.90","88.65","86.65","88.10","68,323"
11/08/2024,"89.30","89.30","86.70","87.40","68,072"
11/07/2024,"87.30","90.95","87.05","89.75","75,593"
11/06/2024,"88.65","89.35","85.35","86.80","191,524"
11/05/2024,"91.55","92.00","90.35","90.55","58,133"
11/04/2024,"91.00","92.65","90.80","91.20","61,128"
11/01/2024,"91.10","92.00","91.00","91.05","72,015"
10/31/2024,"93.00","93.30","90.75","91.50","113,698"
10/30/2024,"92.35","94.75","91.45","93.40","117,967"
10/29/2024,"95.60","96.30","92.35","92.35","87,345"
10/28/2024,"98.00","98.05","94.70","96.05","63,951"
10/25/2024,"97.05","97.65","96.25","97.05","44,290"
10/24/2024,"95.80","100.20","95.80","97.40","71,541"
10/23/2024,"95.75","97.90","95.60","95.60","54,238"
10/22/2024,"94.85","95.75","94.60","95.75","46,490"
10/21/2024,"95.50","96.60","94.85","94.85","45,404"
10/18/2024,"94.30","97.05","94.30","95.90","40,455"
10/17/2024,"95.00","95.85","94.35","94.40","45,229"
10/16/2024,"95.25","95.75","94.55","95.10","60,296"
10/15/2024,"96.30","96.50","95.30","95.60","75,483"
10/14/2024,"97.25","97.40","96.30","96.45","55,461"
10/11/2024,"97.90","97.90","96.50","96.75","78,892"
10/10/2024,"97.95","98.75","97.45","97.90","42,292"
10/09/2024,"97.30","98.60","96.80","98.15","33,115"
10/08/2024,"97.75","98.20","96.85","97.30","38,886"
10/07/2024,"99.15","99.15","98.20","98.95","44,616"
10/04/2024,"96.50","99.50","96.40","98.80","67,250"
10/03/2024,"97.05","97.20","96.00","96.40","76,445"
10/02/2024,"98.50","99.30","97.65","97.80","62,139"
10/01/2024,"100.20","100.70","97.95","98.90","84,772"
09/30/2024,"104.00","104.00","99.30","100.30","144,229"
09/27/2024,"101.80","105.20","101.80","104.80","102,855"
09/26/2024,"100.00","101.90","100.00","101.80","66,391"
09/25/2024,"100.00","100.60","98.65","99.15","49,907"
09/24/2024,"99.50","100.90","99.45","100.00","59,868"
09/23/2024,"96.15","98.30","95.45","98.30","59,280"
09/20/2024,"97.55","97.60","95.70","96.10","118,890"
09/19/2024,"99.30","101.20","99.30","99.50","78,716"
09/18/2024,"98.70","98.75","98.05","98.40","52,052"
09/17/2024,"97.45","99.30","97.10","98.40","45,146"
09/16/2024,"98.95","98.95","97.00","97.25","42,218"
09/13/2024,"96.40","99.40","96.40","98.75","71,093"
09/12/2024,"96.00","97.40","95.10","96.05","110,457"
09/11/2024,"93.75","95.30","93.65","94.25","68,266"
09/10/2024,"96.30","96.30","92.65","93.45","145,654"
09/09/2024,"96.55","97.95","96.40","96.75","112,129"
09/06/2024,"101.20","101.20","96.55","96.55","159,144"
09/05/2024,"100.00","103.20","99.85","101.20","110,235"
09/04/2024,"101.00","102.20","100.10","100.60","141,197"
09/03/2024,"103.20","104.80","102.00","102.20","154,475"
09/02/2024,"101.60","104.50","100.40","102.70","163,195"
08/30/2024,"103.30","103.80","101.00","101.00","2,824,376"
08/29/2024,"102.00","104.20","102.00","103.30","93,384"
08/28/2024,"103.80","104.00","102.90","103.10","106,696"
08/27/2024,"104.90","105.90","104.20","104.80","78,491"
08/26/2024,"105.00","105.80","104.30","105.40","47,758"
08/23/2024,"104.20","105.70","104.20","105.70","62,136"
